epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,319.878,0.9744,0.57452,0.78342,0.94536,0.9902,0.99062,0.73657,1.0387,0.57221,0.81719,0.000330233,0.000330233,0.000330233
83,324.027,1.01552,0.59094,0.78011,0.94623,0.9902,0.99075,0.7272,1.05047,0.57037,0.81853,0.000313729,0.000313729,0.000313729
84,328.239,0.98964,0.54661,0.78907,0.94333,0.9902,0.99064,0.72166,1.07736,0.57249,0.81913,0.000297226,0.000297226,0.000297226
85,332.292,1.04819,0.56297,0.76895,0.94333,0.9902,0.99064,0.72166,1.07736,0.57249,0.81913,0.000280723,0.000280723,0.000280723
86,336.389,0.99313,0.59385,0.78898,0.94117,0.9902,0.99064,0.71918,1.09315,0.57583,0.81936,0.00026422,0.00026422,0.00026422
87,340.515,0.95789,0.56894,0.79757,0.94359,0.99099,0.9907,0.71081,1.0658,0.5634,0.81841,0.000247716,0.000247716,0.000247716
88,344.771,0.95679,0.56777,0.80045,0.93993,0.9902,0.99055,0.73361,1.0326,0.55271,0.81712,0.000231213,0.000231213,0.000231213
89,349.286,1.02296,0.5623,0.78916,0.93993,0.9902,0.99055,0.73361,1.0326,0.55271,0.81712,0.00021471,0.00021471,0.00021471
90,353.48,0.91185,0.53746,0.7933,0.93774,0.9902,0.99086,0.73528,1.01645,0.54996,0.81645,0.000198206,0.000198206,0.000198206
91,357.454,0.92018,0.60773,0.78856,0.93715,0.9902,0.99092,0.73739,1.01742,0.55185,0.81656,0.000181703,0.000181703,0.000181703
92,361.495,0.92387,0.56795,0.79471,0.95175,0.97339,0.99093,0.71104,1.04943,0.56249,0.81859,0.0001652,0.0001652,0.0001652
93,365.474,0.90653,0.58276,0.80748,0.95175,0.97339,0.99093,0.71104,1.04943,0.56249,0.81859,0.000148696,0.000148696,0.000148696
94,369.477,0.94083,0.70191,0.78389,0.9509,0.97254,0.99107,0.70532,1.08614,0.5745,0.82037,0.000132193,0.000132193,0.000132193
95,373.463,1.02909,0.64189,0.75615,0.95078,0.97559,0.99123,0.70436,1.10372,0.58195,0.82154,0.00011569,0.00011569,0.00011569
96,377.337,0.92731,0.55644,0.79142,0.94974,0.97549,0.99141,0.70418,1.09993,0.58329,0.82099,9.91865e-05,9.91865e-05,9.91865e-05
97,381.301,0.9438,0.56605,0.80203,0.94974,0.97549,0.99141,0.70418,1.09993,0.58329,0.82099,8.26832e-05,8.26832e-05,8.26832e-05
98,385.16,0.94932,0.54857,0.80461,0.94913,0.97549,0.99146,0.7052,1.08911,0.58576,0.81988,6.61799e-05,6.61799e-05,6.61799e-05
99,389.087,1.22358,0.86974,0.78533,0.9554,0.96515,0.99164,0.70979,1.07422,0.58374,0.81854,4.96766e-05,4.96766e-05,4.96766e-05
100,393.222,0.90665,0.57357,0.78328,0.95696,0.96474,0.99169,0.74171,1.06146,0.58104,0.8173,3.31733e-05,3.31733e-05,3.31733e-05
